Customer ID,Customer Name,Shipping Address,City,Customer Type,Location,Account Status,Longitude,Latitude
27,Alamo Drafthouse Cinema - Littleton,7301 S Santa Fe Dr,Littleton,On Premise,Colorado,<b class=pill-green>Active</b>,-105.024779,39.5864468
32,ALPENROSE,100 E Meadow Dr #25,Vail,On Premise,Colorado,<b class=pill-green>Active</b>,-106.3779022,39.64219900000001
33,ALPINE WINE AND SPIRITS,2109 N Frontage Rd W # H,Vail,Off Premise,Colorado,<b class=pill-green>Active</b>,-106.416249,39.6323367
34,LOCANDA DEL BORGO,5575 E 3rd Ave,Denver,On Premise,Colorado,<b class=pill-green>Active</b>,-104.9225505,39.7212212
38,Amendment XXI,2548 15th St,Denver,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.011599,39.7580148
40,AMERICAN LIQUORS,76 HURON RD,Breckenridge,Off Premise,Colorado,<b class=pill-green>Active</b>,-106.0444092,39.4935927
41,AMORE VINO,10111 INVERNESS MAIN ST # G,Englewood,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.8716591,39.5796182
43,ANGELO'S TAVERNA,620 E 6TH AVE,Denver,On Premise,Colorado,<b class=pill-green>Active</b>,-104.9792048,39.7254653
46,ANTLERS LIQUOR & WINE CELLAR,842 N Summit Blvd,Frisco,Off Premise,Colorado,<b class=pill-green>Active</b>,-106.0968128,39.5885127
48,APPLEJACK WINE AND SPIRITS,3320 Youngfield St.,Wheat Ridge,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.1410719,39.7634547
51,ARGONAUT WINE & LIQUOR,760 E COLFAX AVE,Denver,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.9778773,39.7396485
52,ARROW LIQUORMART,8055 W BOWLES AVE #2W,Littleton,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.0888051,39.611724
54,ARTISAN RESTAURANT,300 Carriage Way,Snowmass Village,On Premise,Colorado,<b class=pill-green>Active</b>,-106.952312,39.2083483
56,ARVADA TAVERN,5707 OLDE WADSWORTH BLVD,Arvada,On Premise,Colorado,<b class=pill-green>Active</b>,-105.0817488,39.8004854
59,ASPEN WINE AND SPIRITS,300 Puppy Smith St.,Aspen,Off Premise,Colorado,<b class=pill-green>Active</b>,-106.8190087,39.1928426
60,ATLAS VALLEY PURVEYORS,2770 ARAPAHOE RD #100,Lafayette,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.1325654,40.0136364
62,AVON LIQUOR,100 W BEAVER CREEK BLVD,Avon,Off Premise,Colorado,<b class=pill-green>Active</b>,-106.5239441,39.635214
65,B TOWN WINE + SPIRITS,5360 Arapahoe Avenue,Boulder,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.227767,40.0138015
66,B&B WINE & SPIRITS,837 CHEYENNE MEADOWS RD,Colorado Springs,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.8112859,38.7763964
67,BACCHUS WINE & SPIRITS,9265 S BROADWAY ST 400,Highlands Ranch,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.9938742,39.5473696
69,Bailey's Wine & Spirits,4800 Bseline Rd,Boulder,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.2328357,39.998059
70,Baker Wine and Spirits,440 N Broadway,Denver,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.987308,39.7233013
71,Bar Dough,2227 W 32nd Ave,Denver,On Premise,Colorado,<b class=pill-green>Active</b>,-105.0135151,39.7623217
72,GOLD POINT,3126 LARIMER ST,Denver,On Premise,Colorado,<b class=pill-green>Active</b>,-104.9785772,39.7634582
74,BAROLO GRILL,3030 E 6th Ave,Denver,On Premise,Colorado,<b class=pill-green>Active</b>,-104.9515254,39.7254191
76,BASECAMP WINE AND SPIRITS,223 LUSHER COURT,Frisco,Off Premise,Colorado,<b class=pill-green>Active</b>,-106.0998216,39.5891298
78,BAYFIELD LIQUOR,455 E COLORADO DR,Bayfield,Off Premise,Colorado,<b class=pill-green>Active</b>,-107.5946674,37.233054
79,BAYON LIQUORS,3101 E COLFAX,Denver,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.9511601,39.7403848
81,Bear Valley Wine & Liquor,3100 S Sheridan Unit F,Denver,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.0484371,39.655971
83,BEATRICE AND WOODSLEY,38 S BROADWAY,Denver,On Premise,Colorado,<b class=pill-green>Active</b>,-104.9872152,39.71584379999999
84,BEAVER CREEK CHOPHOUSE,One Beaver Creek Place,Beaver Creek,On Premise,Colorado,<b class=pill-green>Active</b>,-106.5167109,39.6042863
86,Beaver Liquors,110 E Beaver Creek Blvd,Avon,Off Premise,Colorado,<b class=pill-green>Active</b>,-106.5199703,39.6346291
87,BENTLEYS LIQUOR,1763 Rocky Mountain Ave,Loveland,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.0028717,40.4097618
88,BERGEN PARK LIQUORS,1348 County Rd. 65,Evergreen,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.360643,39.6912719
89,BERKELEY UNTAPPED,4267 TENNYSON ST,Denver,On Premise,Colorado,<b class=pill-green>Active</b>,-105.0443032,39.7742053
91,Berthoud Wine & Spirits,265 Mountain Ave,Berthoud,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.077159,40.3050302
95,BIG BEAR WINE & LIQUOR,2037 S PUEBLO BLVD,Pueblo,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.6629271,38.229621
96,BIGGIE WINE & LIQUOR,25587 CONIFER RD #125,Conifer,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.289428,39.544143
104,Bittersweet Liquor,3504 W 10th St,Greeley,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.7355429,40.4219328
105,BITTERSWEET RESTAURANT,500 E. Alameda Ave.,Denver,On Premise,Colorado,<b class=pill-green>Active</b>,-104.9811218,39.7109132
107,FAMILY WINE & LIQUOR,379 S GARRISON ST,LAKEWOOD,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.1006348,39.709999
110,BLACKBELLY MARKET,"1606 Conestoga St., #3",Boulder,On Premise,Colorado,<b class=pill-green>Active</b>,-105.2272276,40.0150122
112,BLUE STAR RESTAURANT,1645 S TEJON ST,Colorado Springs,On Premise,Colorado,<b class=pill-green>Active</b>,-104.8256257,38.8100361
114,DENVER WINE MERCHANT,3911 FOX STREET,Denver,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.9951451,39.7708532
115,DECA BOL,141 E. Meadow Dr. #113,Vail,On Premise,Colorado,<b class=pill-green>Active</b>,-106.3755695,39.6426777
117,Bonnie Brae Liquor,785 S University Blvd,Denver,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.9597398,39.7023557
118,BOONE'S WINE AND SPIRITS,65 Market St. Unit 1 & 2,Eagle,Off Premise,Colorado,<b class=pill-green>Active</b>,-106.8280262,39.6621643
119,BOOZERS WINE & SPIRITS,22691 E AURORA PKWY STE 1-B,Aurora,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.7248418,39.57568699999999
120,BOSQ,312 S Mill St,Aspen,On Premise,Colorado,<b class=pill-green>Active</b>,-106.819798,39.1885791
121,BOSS LIQUORS,5781 E 128TH AVE #160,Thornton,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.9205886,39.9288771
122,MISSION CONTROL,3244 NAVAJO ST,Denver,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.0039541,39.7630273
123,BOTTLE SHOP 33,1080 S GAYLORD ST.,Denver,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.9614504,39.6969184
125,BOTTLES & BITTERS AT SLOAN'S LAKE,5219 W 25th Ave,Edgewater,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.0539834,39.7531686
127,BOULDER CORK,3295 30th St.,Boulder,On Premise,Colorado,<b class=pill-green>Active</b>,-105.2540941,40.0344665
129,Boulder Wine and Spirits,3325 29th St,Boulder,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.2565424,40.03282979999999
130,BOULDER WINE MERCHANT,2690 BROADWAY,Boulder,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.2811291,40.0253593
133,BRASS MONKEY WINE & SPIRITS,1387 E SOUTH BOULDER RD,Louisville,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.1234743,39.98737089999999
134,Brasserie Ten Ten,1011 Walnut St,Boulder,On Premise,Colorado,<b class=pill-green>Active</b>,-105.2820918,40.0166805
135,BRAZEN,4450 W 38TH AVE,Denver,On Premise,Colorado,<b class=pill-green>Active</b>,-105.0448283,39.7691972
138,BRIX WINE AND SPIRITS,6130 E Crossroads Blvd,Loveland,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.9872152,40.4356388
139,BROADMOOR WINE AND SPIRITS,116 E CHEYENNE MTN BLVD,Colorado Springs,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.8244369,38.7906368
140,Broadway Wine & Spirits,2550 Baseline Rd,Boulder,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.2617147,40.0001491
142,BROWN PALACE HOTEL,321 17TH ST,Denver,On Premise,Colorado,<b class=pill-green>Active</b>,-104.9877629,39.7440504
143,BRUIN SPIRITS,11177 S DRANSFELDT RD,Parker,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.770599,39.5134807
145,Bubbles Liquor World,675 Genoa Way,Castle Rock,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.8697215,39.4113052
146,BUCKLEY DISCOUNT LIQUORS,17150 E ELIFF AVE,Aurora,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.7890834,39.6718586
147,BULLFROG WINE & SPIRITS,1820 N College Ave #100,Fort Collins,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.0736882,40.6110324
150,CACHE CACHE,"205 S Mill St., #106",Aspen,On Premise,Colorado,<b class=pill-green>Active</b>,-106.8198196,39.1896606
155,CAMELOT LIQUORS,18525 E. Smoky Hill Rd. Suite F,Centennial,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.7720576,39.6199813
156,CAMPO DE FIORI,205 S Mill St.,Aspen,On Premise,Colorado,<b class=pill-green>Active</b>,-106.8198196,39.1896606
157,Campus West Liquor Depot,1107 City Park Ave,Fort Collins,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.1011308,40.5738826
158,CAPITAL GRILLE,1450 Larimer Street,Denver,On Premise,Colorado,<b class=pill-green>Active</b>,-104.9987179,39.7478055
160,Capitol Heights Pharmacy,1200 Madison St,Denver,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.9458671,39.7353826
161,CAPSHAW LIQUORS,1555 S HAVANA ST,Aurora,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.8678092,39.6880192
163,CARIBOU CLUB,411 E Hopkins Ave,Aspen,On Premise,Colorado,<b class=pill-green>Active</b>,-106.8191974,39.189575
164,CARL'S PHARMACY,306 E Main St.,Aspen,Off Premise,Colorado,<b class=pill-green>Active</b>,-106.8201171,39.1911148
166,Carlos' Bistro,1025 S 21st St,Colorado Springs,On Premise,Colorado,<b class=pill-green>Active</b>,-104.8587103,38.8383889
169,CART DRIVER,2500 Larimer St. Suite 100,Denver,On Premise,Colorado,<b class=pill-green>Active</b>,-104.9861197,39.7576532
170,CASA TUA,403 S Galena St.,Aspen,On Premise,Colorado,<b class=pill-green>Active</b>,-106.8191743,39.1878603
171,CASK AND CRAFT,3744 TEJON ST,Denver,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.0110203,39.7688389
172,SLOPESIDE - CRESTED BUTTE,32 CRESTED MOUNTAIN LN,CRESTED BUTTE,On Premise,Colorado,<b class=pill-green>Active</b>,-106.9651031,38.9001289
173,CASTLE PINES GOLF CLUB,1000 HUMMINGBIRD DR.,Castlerock,On Premise,Colorado,<b class=pill-green>Active</b>,-104.8986792,39.4407466
175,CATHERINE STORE WINE AND LIQUOR,15783 Highway 82,Carbondale,Off Premise,Colorado,<b class=pill-green>Active</b>,-107.152999,39.4074229
176,CENTENNIAL WINE AND SPIRITS,324 S MCCASLIN BLVD,Louisville,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.1618419,39.9657394
178,CHAMBERS PLACE,4856 Chambers Rd,Denver,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.8094889,39.78536270000001
179,CHAMBERS WINE & LIQUOR,15260 E ILIFF AVE,Aurora,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.8105336,39.673393
181,CHATFIELD DISCOUNT LIQUOR,7444 W CHATFIELD AVE J,Littleton,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.0814519,39.5655556
182,CHATFIELD WINE & SPIRITS,8156 S WADSWORTH BLVD,Littleton,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.0814977,39.5684929
184,CHEERS LIQUOR MART,1105 N CIRCLE DR,Colorado Springs,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.7750205,38.848544
188,CHERRY CREEK GRILL,184 STEELE ST,Denver,On Premise,Colorado,<b class=pill-green>Active</b>,-104.9495791,39.7192559
190,CHERRYWOOD LIQUORS,13679 COLORADO BLVD,Thornton,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.9410528,39.94423090000001
193,CHOLON,1555 BLAKE ST #101,Denver,On Premise,Colorado,<b class=pill-green>Active</b>,-104.9994254,39.7505122
195,CITY O'CITY,206 E 13TH AVE,Denver,On Premise,Colorado,<b class=pill-green>Active</b>,-104.9846383,39.7367022
196,EL MORO SPIRITS & TAVERN,945 MAIN AVE,DURANGO,On Premise,Colorado,<b class=pill-green>Active</b>,-107.8808913,37.2740927
201,CO RANCH HOUSE,704 Grand Ave,Glenwood Springs,On Premise,Colorado,<b class=pill-green>Active</b>,-107.324415,39.5475372
202,COALTRAIN WINE AND SPIRITS,330 W UINTAH,Colorado Springs,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.8306833,38.85137830000001
203,COCONUT LIQUOR,1153 BERGEN PKWY,Evergreen,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.3573035,39.6938091
204,College Green Liquor,4681 W 20th St,Greeley,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.7558691,40.4080036
205,COLORADO BEVERAGE COMPANY,5080 N CENTRAL PARK BLVD,DENVER,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.8819941,39.7900531
206,COLORADO GOLF CLUB,8000 PRESERVATION TRL,Parker,On Premise,Colorado,<b class=pill-green>Active</b>,-104.735425,39.476607
207,COLORADO LIQUOR MART,865 S COLORADO BLVD,Denver,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.9413038,39.70154369999999
208,COLORADO LIQUOR OUTLET,1615 Briargate Blvd,Colorado Springs,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.796939,38.944654
211,COLUMBINE LOUNGE AND RESTAURANT,7660 S PIERCE ST,Littleton,On Premise,Colorado,<b class=pill-green>Active</b>,-105.0719528,39.577611
213,COMIDA AT STANLEY MARKETPLACE,2501 Dallas St,Aurora,On Premise,Colorado,<b class=pill-green>Active</b>,-104.8773876,39.7530479
216,COOHILLS,"1400 Wewatta St., #100",Denver,On Premise,Colorado,<b class=pill-green>Active</b>,-105.0034196,39.7507689
218,COOPER WINE AND SPIRITS,732 Cooper Ave,Glenwood Springs,Off Premise,Colorado,<b class=pill-green>Active</b>,-107.3232372,39.5467963
219,COPERTA,400 E 20TH AVE,Denver,On Premise,Colorado,<b class=pill-green>Active</b>,-104.9821102,39.7474049
220,CORAL BAY WINE & SPIRITS,6624 W 10TH ST,Greeley,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.7878754,40.4209077
222,MURPHY'S TAP HOUSE,585 MCCASLIN BLVD,LOUISVILLE,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.1652104,39.9622243
223,CORKS,1620 PLATTE ST,Denver,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.0074367,39.7571682
224,DRAGONFLY LIQUORS INC,251 W 64TH ST,Loveland,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.0791927,40.455473
227,COST PLUS WORLD MARKET,770 S. Colorado Blvd,Glendale,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.9390679,39.7027433
229,COSTCO #676,5195 WADSWORTH BLVD,Arvada,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.0830733,39.7878413
232,CRAFT-Y BEER WINE & LIQUOR,24300 E. Smoky Hill Rd Suite 108,Aurora,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.7057043,39.5952233
235,LA CREPERIE DU VILLAGE,112 South Mill St,Aspen,On Premise,Colorado,<b class=pill-green>Active</b>,-106.8192435,39.1900421
240,CUCINA COLORE,3041 E 3rd Ave,Denver,On Premise,Colorado,<b class=pill-green>Active</b>,-104.9511972,39.7211106
241,DEDALUS,1825 Pearl St,Boulder,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.2714756,40.0200071
242,CURIO,2669 Larimer St,Denver,On Premise,Colorado,<b class=pill-green>Active</b>,-104.9846415,39.7593327
245,SNOOZE AN A.M EATERY - 7CO (102),700 N COLORADO BLVD,Denver,On Premise,Colorado,<b class=pill-green>Active</b>,-104.9403033,39.7277511
246,DALY BOTTLE,45 VILLAGE SQUARE,Snowmass Village,Off Premise,Colorado,<b class=pill-green>Active</b>,-106.9541471,39.2072507
247,DAVECO BEER WINE & SPIRITS - THORNTON,16434 N WASHINGTON ST,Thornton,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.0674317,39.93891989999999
249,DAVIDSON'S BEER WINE & SPIRITS - HIGHLAND,5555 BOATWORKS DRIVE,Highlands Ranch,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.9237537,39.5655629
251,DEL FRISCO'S DOUBLE EAGLE STEAKHOUSE,8100 E. ORCHARD RD.,Greenwood Village,On Premise,Colorado,<b class=pill-green>Active</b>,-104.8913457,39.6087292
253,DENVER LIQUOR GALAXY,8968 E HAMPDEN AVE,Denver,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.882777,39.652918
254,DILLON RIDGE LIQUORS,294 US HWY 6 UNIT B,Dillon,Off Premise,Colorado,<b class=pill-green>Active</b>,-106.0433518,39.6302643
255,THREE DOGS TAVERN,3390 W 32nd Ave,Denver,On Premise,Colorado,<b class=pill-green>Active</b>,-105.0320439,39.7618339
256,DISTILLERY LIQUOR,7195 E HAMPDEN AVE,DENVER,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.9050541,39.6535977
257,DIVINO WINE & SPIRITS,1240 S Broadway,Denver,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.9870668,39.6939462
259,DODDS WINE VAULT,872 HAPPY CANYON RD,Castle Rock,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.8670229,39.4526283
260,TRUE FOOD KITCHEN - DENVER,"2800 EAST 2ND AVENUE, SUITE 101",Denver,On Premise,Colorado,<b class=pill-green>Active</b>,-104.9543925,39.7192193
263,Downing Street Liquors,1038 E 22nd Ave,Denver,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.9737051,39.749286
264,DOWNTOWN FINE SPIRITS AND WINES,103 S WASATCH AVE A&B,Colorado Springs,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.8177831,38.831916
265,Dry Creek Discount Liquors,7500 S University Blvd,Centennial,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.9578231,39.580327
266,DTC WINE & SPIRITS,4920 S. Yosemite St.,Greenwood Village,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.8834679,39.6254646
268,Duo,2413 W 32nd Ave,Denver,On Premise,Colorado,<b class=pill-green>Active</b>,-105.0161906,39.7621811
269,DURANGO LIQUOR & WINE,1145 S CAMINO DEL RIO #101,Durango,Off Premise,Colorado,<b class=pill-green>Active</b>,-107.8663313,37.2309984
271,EAGLE WINE & SPIRITS,1060 W. BAPTIST ROAD,Colorado Springs,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.8424065,39.0578948
272,EARLS KITCHEN + BAR - LONE TREE,8335 Park Meadows Ctr Dr,Lone Tree,On Premise,Colorado,<b class=pill-green>Active</b>,-104.874363,39.564522
273,EARLS KITCHEN + BAR - DENVER,1600 GLENARM PL # 140,Denver,On Premise,Colorado,<b class=pill-green>Active</b>,-104.9899836,39.74368270000001
275,EAST QUINCY LIQUOR,16342 E QUINCY AVE,Aurora,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.798536,39.6376992
278,Edna Wine and Spirits,7986 W Alameda Ave A&B,Lakewood,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.0859233,39.70948509999999
279,EL CAMINO,3628 W 32nd Ave,Denver,On Premise,Colorado,<b class=pill-green>Active</b>,-105.0353997,39.7620009
280,EL JEBEVERAGE,300 E Valley Rd.,Carbondale,Off Premise,Colorado,<b class=pill-green>Active</b>,-107.0876587,39.3912309
281,ELDO WINE & SPIRITS,1807 S FOOTHILLS HIGHWAY,Boulder,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.2328765,39.9524453
284,ELLINA RESTAURANT AND BAR,430 E Hyman Ave,Aspen,On Premise,Colorado,<b class=pill-green>Active</b>,-106.8188689,39.1891187
286,ELWAY'S - CHERRY CREEK,"2500 E 1st Ave, Suite 101",Denver,On Premise,Colorado,<b class=pill-green>Active</b>,-104.9572754,39.7174943
288,ELWAY'S - VAIL,174 E. Gore Creek Dr.,Vail,On Premise,Colorado,<b class=pill-green>Active</b>,-106.374784,39.640072
290,ENGLEWOOD GRAND,3435 S BROADWAY,Englewood,On Premise,Colorado,<b class=pill-green>Active</b>,-104.9880139,39.65435129999999
293,ESTERS NEIGHBORHOOD PUB - HOLLY,1950 S Holly St,Denver,On Premise,Colorado,<b class=pill-green>Active</b>,-104.9216836,39.6815687
295,EUROPA WINE AND SPIRITS,8727 E Dry Creek Rd #A,Englewood,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.8865256,39.5811782
296,EVERGREEN DISCOUNT LIQUORS,3847 S EVERGREEN PKWY,Evergreen,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.3403499,39.6461659
299,Fabby's Wine & Spirits,2608 S Timberline Rd,Fort Collins,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.0371179,40.55178009999999
300,Fairfax Wine & Spirits,5100 E Colfax Ave,Denver,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.9276151,39.7398205
306,FEDERAL BAR & GRILL,2544 FEDERAL BLVD,Denver,On Premise,Colorado,<b class=pill-green>Active</b>,-105.0249906,39.7544998
307,FEDERAL PLAZA LIQUORS,10350 FEDERAL BLVD #900,Denver,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.0228331,39.8840653
309,FINN'S MANOR,2927 LARIMER ST.,Denver,On Premise,Colorado,<b class=pill-green>Active</b>,-104.9814413,39.7618709
311,BISTRO NAUTILE,150 W OAK ST,Fort Collins,On Premise,Colorado,<b class=pill-green>Active</b>,-105.0785295,40.5858425
312,FISH LIQUOR MART,1007 E. Harmony Rd.,Fort Collins,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.0594185,40.5217915
313,FISHERS LIQUOR BARN,2438 PATTERSON RD,Grand Junction,Off Premise,Colorado,<b class=pill-green>Active</b>,-108.599657,39.0947028
314,FLAGSTAFF HOUSE,1138 Flagstaff Rd,Boulder,On Premise,Colorado,<b class=pill-green>Active</b>,-105.2945057,40.007347
317,FLYING HORSE WINE AND SPIRITS,2678 N GATE BLVD,Colorado Springs,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.7805317,39.0296743
319,Forest Room Five,2532 15th St,Denver,On Premise,Colorado,<b class=pill-green>Active</b>,-105.0113578,39.7577857
320,FORT COLLINS WAREHOUSE LIQUORS,4700 E Boardwalk Dr,Fort Collins,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.0639611,40.520954
322,FOUR DOGS FINE WINE AND SPIRITS,701 E VALLEY RD,Basalt,Off Premise,Colorado,<b class=pill-green>Active</b>,-107.0844488,39.3884997
323,FOUR SEASONS RESORT VAIL,1VAIL RD,Vail,On Premise,Colorado,<b class=pill-green>Active</b>,-106.3780801,39.6433243
325,FOX CREEK LIQUORS,1610 Pace St. #700,Longmont,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.0727216,40.1868227
326,FRANCIS STREET LIQUOR,1147 FRANCIS ST,Longmont,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.1170561,40.1792203
328,FRASCA FOOD AND WINE,1738 PEARL ST.,Boulder,On Premise,Colorado,<b class=pill-green>Active</b>,-105.2724707,40.0192053
332,FRUITION RESTAURANT,1313 E. 6th Ave.,Denver,On Premise,Colorado,<b class=pill-green>Active</b>,-104.971309,39.7257156
333,G&E Liquors,18680 E Iliff Ave,Aurora,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.7705654,39.67664449999999
334,GAETANO'S RESTAURANT,3760 Tejon St,Denver,On Premise,Colorado,<b class=pill-green>Active</b>,-105.0109281,39.7690829
337,GATEWAY LIQUOR,3751 N TOWER RD,Aurora,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.7729692,39.7682904
338,SECRET CREEK SPIRITS,810 N MAIN,GUNNISON,Off Premise,Colorado,<b class=pill-green>Active</b>,-106.9256463,38.5527707
341,Stanley Hotel,333 Wonderview Ave,Estes Park,On Premise,Colorado,<b class=pill-green>Active</b>,-105.5192168,40.3828623
346,GOVERNOR'S WINE & SPIRITS,9862 W BELLEVIEW AVE,Littleton,Off Premise,Colorado,<b class=pill-green>Active</b>,-105.107867,39.6240595
348,GRAPE EXPECTATIONS WINE & SPIRITS,2270 KEARNEY ST,Denver,Off Premise,Colorado,<b class=pill-green>Active</b>,-104.9172701,39.7504885
